subjid,sessid,treatment,trialid,sessid_5,trialnum,trialtime,stage,rewmag,delay,choice,points,smag,sdelay,decisionRT,j_trial_start,j_trial_end,unit,unitdelay
247,319,"LongDelay_Behavior",14481,319,3,"13:23:05",1,13,141,1,30,4,0,1.30044,NaN,NaN,0,141
247,319,"LongDelay_Behavior",14483,319,4,"13:23:11",1,11,108,0,34,4,0,1.20808,NaN,NaN,0,108
247,319,"LongDelay_Behavior",14485,319,5,"13:23:20",1,8,93,0,38,4,0,0.976011,NaN,NaN,0,93
247,319,"LongDelay_Behavior",14487,319,6,"13:23:27",1,12,62,0,42,4,0,0.876323,NaN,NaN,0,62
247,319,"LongDelay_Behavior",14489,319,7,"13:23:37",1,6,97,0,46,4,0,0.985183,NaN,NaN,0,97
247,319,"LongDelay_Behavior",14491,319,8,"13:23:45",1,15,44,1,61,4,0,1.0174,NaN,NaN,0,44
247,319,"LongDelay_Behavior",14493,319,9,"13:23:51",1,5,82,0,65,4,0,0.847626,NaN,NaN,0,82
247,319,"LongDelay_Behavior",14495,319,10,"13:23:58",1,8,29,1,73,4,0,1.17559,NaN,NaN,0,29
247,319,"LongDelay_Behavior",14497,319,11,"13:24:05",1,9,138,0,77,4,0,0.737477,NaN,NaN,0,138
247,319,"LongDelay_Behavior",14499,319,12,"13:24:11",1,12,18,1,89,4,0,0.950551,NaN,NaN,0,18
247,319,"LongDelay_Behavior",14501,319,13,"13:24:20",1,14,37,0,93,4,0,1.06827,NaN,NaN,0,37
247,319,"LongDelay_Behavior",14503,319,14,"13:24:28",1,14,7,1,107,4,0,1.05702,NaN,NaN,0,7
247,319,"LongDelay_Behavior",14505,319,15,"13:24:36",1,13,138,0,111,4,0,1.21448,NaN,NaN,0,138
247,319,"LongDelay_Behavior",14507,319,16,"13:24:43",1,8,12,1,119,4,0,1.01485,NaN,NaN,0,12
247,319,"LongDelay_Behavior",14509,319,17,"13:24:51",1,12,146,0,123,4,0,1.4253,NaN,NaN,0,146
247,319,"LongDelay_Behavior",14511,319,18,"13:24:59",1,14,6,1,137,4,0,1.11373,NaN,NaN,0,6
247,319,"LongDelay_Behavior",14513,319,19,"13:25:07",1,13,32,1,150,4,0,1.23309,NaN,NaN,0,32
247,319,"LongDelay_Behavior",14515,319,20,"13:25:14",1,10,47,1,160,4,0,1.81739,NaN,NaN,0,47
247,319,"LongDelay_Behavior",14517,319,21,"13:25:22",1,12,91,0,164,4,0,1.65787,NaN,NaN,0,91
247,319,"LongDelay_Behavior",14519,319,22,"13:25:32",1,11,42,1,175,4,0,2.06522,NaN,NaN,0,42
247,319,"LongDelay_Behavior",14521,319,23,"13:25:39",1,12,103,0,179,4,0,0.927852,NaN,NaN,0,103
247,319,"LongDelay_Behavior",14523,319,24,"13:25:46",1,7,94,0,183,4,0,1.06441,NaN,NaN,0,94
247,319,"LongDelay_Behavior",14525,319,25,"13:25:53",1,9,21,0,187,4,0,1.15222,NaN,NaN,0,21
247,319,"LongDelay_Behavior",14527,319,26,"13:26:00",1,12,123,0,191,4,0,0.937091,NaN,NaN,0,123
247,319,"LongDelay_Behavior",14529,319,27,"13:26:08",1,15,7,1,206,4,0,1.37187,NaN,NaN,0,7
247,319,"LongDelay_Behavior",14531,319,28,"13:26:17",1,13,71,1,219,4,0,2.10418,NaN,NaN,0,71
247,319,"LongDelay_Behavior",14533,319,29,"13:26:25",1,6,27,1,225,4,0,2.05304,NaN,NaN,0,27
247,319,"LongDelay_Behavior",14535,319,30,"13:26:33",1,10,118,0,229,4,0,1.06252,NaN,NaN,0,118
247,319,"LongDelay_Behavior",14537,319,31,"13:26:39",1,9,132,0,233,4,0,0.868211,NaN,NaN,0,132
247,319,"LongDelay_Behavior",14539,319,32,"13:26:48",1,5,89,0,237,4,0,1.901,NaN,NaN,0,89
247,319,"LongDelay_Behavior",14541,319,33,"13:26:58",1,13,82,0,241,4,0,3.52322,NaN,NaN,0,82
247,319,"LongDelay_Behavior",14543,319,34,"13:27:07",1,8,66,0,245,4,0,2.68632,NaN,NaN,0,66
247,319,"LongDelay_Behavior",14545,319,35,"13:27:16",1,10,19,1,255,4,0,1.4103,NaN,NaN,0,19
247,319,"LongDelay_Behavior",14547,319,36,"13:27:24",1,9,48,0,259,4,0,1.43806,NaN,NaN,0,48
247,319,"LongDelay_Behavior",14549,319,37,"13:27:32",1,7,44,0,263,4,0,1.0181,NaN,NaN,0,44
247,319,"LongDelay_Behavior",14551,319,38,"13:27:41",1,13,26,0,267,4,0,0.989131,NaN,NaN,0,26
247,319,"LongDelay_Behavior",14553,319,39,"13:27:50",1,14,24,1,281,4,0,1.58002,NaN,NaN,0,24
247,319,"LongDelay_Behavior",14555,319,40,"13:27:57",1,9,40,0,285,4,0,1.19591,NaN,NaN,0,40
247,319,"LongDelay_Behavior",14557,319,41,"13:28:06",1,9,20,1,294,4,0,2.27086,NaN,NaN,0,20
247,319,"LongDelay_Behavior",14559,319,42,"13:28:15",1,12,90,0,298,4,0,1.5215,NaN,NaN,0,90
247,319,"LongDelay_Behavior",14561,319,43,"13:28:20",1,10,135,0,302,4,0,0.974417,NaN,NaN,0,135
247,319,"LongDelay_Behavior",14563,319,44,"13:28:27",1,14,145,0,306,4,0,1.20148,NaN,NaN,0,145
247,319,"LongDelay_Behavior",14565,319,45,"13:28:36",1,11,88,0,310,4,0,1.22583,NaN,NaN,0,88
247,319,"LongDelay_Behavior",14567,319,46,"13:28:43",1,12,117,0,314,4,0,1.03906,NaN,NaN,0,117
247,319,"LongDelay_Behavior",14569,319,47,"13:28:52",1,9,37,0,318,4,0,1.76218,NaN,NaN,0,37
247,319,"LongDelay_Behavior",14571,319,48,"13:29:00",1,5,20,0,322,4,0,1.50911,NaN,NaN,0,20
247,319,"LongDelay_Behavior",14573,319,49,"13:29:08",1,11,144,0,326,4,0,0.849015,NaN,NaN,0,144
247,319,"LongDelay_Behavior",14575,319,50,"13:29:15",1,7,46,0,330,4,0,1.07583,NaN,NaN,0,46
247,321,"ShortDelay_Behavior",14577,321,1,"13:29:46",2,13,0.000104166666666667,1,13,4,0,1.8033,NaN,NaN,1,9
247,321,"ShortDelay_Behavior",14579,321,2,"13:29:57",2,14,0.000347222222222222,0,17,4,0,1.41004,NaN,NaN,1,30
247,321,"ShortDelay_Behavior",14581,321,3,"13:30:14",2,7,8.10185185185185e-05,1,24,4,0,1.53503,NaN,NaN,1,7
247,321,"ShortDelay_Behavior",14583,321,4,"13:30:22",2,13,0.000289351851851852,0,28,4,0,1.1376,NaN,NaN,1,25
247,321,"ShortDelay_Behavior",14585,321,5,"13:30:33",2,5,0.000300925925925926,0,32,4,0,1.11671,NaN,NaN,1,26
247,321,"ShortDelay_Behavior",14587,321,6,"13:30:55",2,6,0.000138888888888889,1,38,4,0,1.62631,NaN,NaN,1,12
247,321,"ShortDelay_Behavior",14589,321,7,"13:31:13",2,15,0.000115740740740741,1,53,4,0,1.242,NaN,NaN,1,10
247,321,"ShortDelay_Behavior",14591,321,8,"13:31:44",2,13,0.000231481481481481,1,66,4,0,2.42042,NaN,NaN,1,20
247,321,"ShortDelay_Behavior",14593,321,9,"13:31:57",2,7,4.62962962962963e-05,1,73,4,0,1.24826,NaN,NaN,1,4
