subjid,sessid,treatment,trialid,sessid_5,trialnum,trialtime,stage,rewmag,delay,choice,points,smag,sdelay,decisionRT,j_trial_start,j_trial_end,unit,unitdelay
247,1839,"LongDelay_fMRI",78827,1839,1,"15:49:55",1,12,62,0,4,4,0,3.06736,2.53408,12.7842,0,62
247,1839,"LongDelay_fMRI",78829,1839,2,"15:50:03",1,5,105,0,8,4,0,1.65784,12.8,20.6001,0,105
247,1839,"LongDelay_fMRI",78831,1839,3,"15:50:12",1,13,141,0,12,4,0,2.59785,20.6166,30.25,0,141
247,1839,"LongDelay_fMRI",78833,1839,4,"15:50:20",1,11,108,0,16,4,0,1.40096,30.2667,37.7667,0,108
247,1839,"LongDelay_fMRI",78835,1839,5,"15:50:28",1,8,93,0,20,4,0,1.35223,37.7833,45.7333,0,93
247,1839,"LongDelay_fMRI",78837,1839,6,"15:50:37",1,12,62,0,24,4,0,1.58942,45.75,55.2333,0,62
247,1839,"LongDelay_fMRI",78839,1839,7,"15:50:45",1,6,97,0,28,4,0,1.19865,55.25,63.0167,0,97
247,1839,"LongDelay_fMRI",78841,1839,8,"15:50:52",1,15,44,1,43,4,0,1.75324,63.0334,69.7001,0,44
247,1839,"LongDelay_fMRI",78843,1839,9,"15:50:59",1,5,82,0,47,4,0,1.09646,69.7166,77.0667,0,82
247,1839,"LongDelay_fMRI",78845,1839,10,"15:51:08",1,8,29,1,55,4,0,3.93431,77.0833,86.5501,0,29
247,1839,"LongDelay_fMRI",78847,1839,11,"15:51:17",1,9,138,0,59,4,0,1.0202,86.5666,94.8834,0,138
247,1839,"LongDelay_fMRI",78849,1839,12,"15:51:24",1,12,18,1,71,4,0,1.8188,94.9,102.317,0,18
247,1839,"LongDelay_fMRI",78851,1839,13,"15:51:34",1,14,37,0,75,4,0,1.02793,102.333,111.683,0,37
247,1839,"LongDelay_fMRI",78853,1839,14,"15:51:42",1,14,7,1,89,4,0,1.83723,111.7,120.067,0,7
247,1839,"LongDelay_fMRI",78855,1839,15,"15:51:49",1,13,138,0,93,4,0,1.19447,120.083,127.483,0,138
247,1839,"LongDelay_fMRI",78857,1839,16,"15:51:57",1,8,12,0,97,4,0,2.26158,127.5,135.467,0,12
247,1839,"LongDelay_fMRI",78859,1839,17,"15:52:05",1,12,146,0,101,4,0,0.806337,135.483,142.6,0,146
247,1839,"LongDelay_fMRI",78861,1839,18,"15:52:12",1,14,6,1,115,4,0,1.5942,142.617,150.283,0,6
